PUESTO_SIMPLIFICADO,PUESTO,CARGO ADMINISTRATIVO,CONTEO,Simp_puesto,Puesto_cargo,Simp_cargo
TRABAJADOR OPERATIVO,TRABAJADOR OPERATIVO B,RECICLADOR DE MATERIALES RESIDUALES,7,FALSO,FALSO,FALSO
TRABAJADOR OPERATIVO,TRABAJADOR OPERATIVO B,REVISOR DE SALIDA DE RECURSOS BIBLIOGRÁFICOS Y EQUIPO,138,FALSO,FALSO,FALSO
TRABAJADOR OPERATIVO,TRABAJADOR OPERATIVO C,,127,FALSO,FALSO,FALSO
TRABAJADOR OPERATIVO,TRABAJADOR OPERATIVO C,AUXILIAR DE INSTALACIONES DEPORTIVAS,74,FALSO,FALSO,FALSO
TRABAJADOR OPERATIVO,TRABAJADOR OPERATIVO C,AUXILIAR DE INVESTIGACIÓN DE ANÁLISIS SENSORIAL,12,FALSO,FALSO,FALSO
TRABAJADOR OPERATIVO,TRABAJADOR OPERATIVO C,AUXILIAR DE LABORATORIO,194,FALSO,FALSO,FALSO
TRABAJADOR OPERATIVO,TRABAJADOR OPERATIVO C,AUXILIAR DE MANTENIMIENTO EN ESTACIÓN BIOLÓGICA,24,FALSO,FALSO,FALSO
TRABAJADOR OPERATIVO,TRABAJADOR OPERATIVO C,AUXILIAR DE MECÁNICA DE AUTOMOTORES,21,FALSO,FALSO,FALSO
TRABAJADOR OPERATIVO,TRABAJADOR OPERATIVO C,BODEGUERO,12,FALSO,FALSO,FALSO
TRABAJADOR OPERATIVO,TRABAJADOR OPERATIVO C,CHOFER,517,FALSO,FALSO,FALSO
TRABAJADOR OPERATIVO,TRABAJADOR OPERATIVO C,CHOFER DE AMBULANCIA,41,FALSO,FALSO,FALSO
TRABAJADOR OPERATIVO,TRABAJADOR OPERATIVO C,"DISTRIBUIDOR DE MATERIAL DIDÁCTICO, PERIÓDICOS Y DOCUMENTACIÓN",46,FALSO,FALSO,FALSO
TRABAJADOR OPERATIVO,TRABAJADOR OPERATIVO C,ENCARGADO DE SERVICIO DE CONSERJERÍA,36,FALSO,FALSO,FALSO
TRABAJADOR OPERATIVO,TRABAJADOR OPERATIVO C,ENCARGADO DE VIGILANCIA DE BIBLIOTECA,60,FALSO,FALSO,FALSO
TRABAJADOR OPERATIVO,TRABAJADOR OPERATIVO C,MENSAJERO-CHOFER,439,FALSO,FALSO,FALSO
TRABAJADOR OPERATIVO,TRABAJADOR OPERATIVO C,OFICIAL DE SEGURIDAD UNIVERSITARIA,2891,FALSO,FALSO,FALSO
TRABAJADOR OPERATIVO,TRABAJADOR OPERATIVO C,OPERADOR DE CENTRAL TELEFÓNICA,37,FALSO,FALSO,FALSO
TRABAJADOR OPERATIVO,TRABAJADOR OPERATIVO C,OPERADOR DE MAQUINARIA AGRÍCOLA,78,FALSO,FALSO,FALSO
TRABAJADOR OPERATIVO,TRABAJADOR OPERATIVO C,REPRODUCTOR DE DOCUMENTOS Y MATERIAL AUDIOVISUAL,123,FALSO,FALSO,FALSO
TRABAJADOR OPERATIVO,TRABAJADOR OPERATIVO C,SUPERVISOR DE MANUTENCIÓN DE CABALLOS Y MANTENIMIENTO DE INSTALACIONES EQUINAS,12,FALSO,FALSO,FALSO
VICERRECTOR ,VICERRECTOR,,60,FALSO,FALSO,FALSO
